scenario,dotenvx,docker,golang,nodejs,php,python,ruby
AFTER_LINE,1,1,1,1,1,1,1
BACKTICKS,1,0,0,1,0,0,0
BACKTICKS_INSIDE_DOUBLE,1,0,1,1,1,1,1
BACKTICKS_INSIDE_SINGLE,1,0,1,1,1,1,1
BACKTICKS_SPACED,1,0,0,1,0,0,0
BASIC,1,1,1,1,1,1,1
DONT_EXPAND_SQUOTED,1,0,1,1,1,1,1
DONT_EXPAND_UNQUOTED,1,1,1,1,1,1,0
DOUBLE_AND_SINGLE_QUOTES_INSIDE_BACKTICKS,1,0,0,1,0,0,0
DOUBLE_QUOTES,1,0,1,1,1,1,1
DOUBLE_QUOTES_INSIDE_BACKTICKS,1,0,0,1,0,0,0
DOUBLE_QUOTES_INSIDE_SINGLE,1,0,1,1,1,1,1
DOUBLE_QUOTES_SPACED,1,0,1,1,1,1,1
DOUBLE_QUOTES_WITH_NO_SPACE_BRACKET,1,0,0,0,0,0,0
EMPTY,1,1,1,1,1,1,1
EMPTY_BACKTICKS,1,0,0,1,0,0,0
EMPTY_DOUBLE_QUOTES,1,0,1,1,1,1,1
EMPTY_SINGLE_QUOTES,1,0,1,1,1,1,1
EQUAL_SIGNS,1,0,1,1,1,1,1
EXPAND_NEWLINES,1,0,1,1,1,1,0
HY-PHEN,1,0,0,1,0,1,0
INLINE_COMMENTS,1,0,0,1,0,1,1
INLINE_COMMENTS_BACKTICKS,1,0,0,1,0,0,0
INLINE_COMMENTS_DOUBLE_QUOTES,1,0,1,1,1,1,1
INLINE_COMMENTS_SINGLE_QUOTES,1,0,1,1,1,1,1
INLINE_COMMENTS_SPACE,1,0,0,1,0,0,1
MULTILINE_DOUBLE,1,0,1,1,1,1,1
MULTILINE_SINGLE,1,0,1,1,0,1,1
PARENTHESES,1,0,1,1,1,1,1
PARENTHESES_EXPAND,1,0,0,0,0,0,0
RETAIN_INNER_QUOTES,1,1,1,1,0,1,1
RETAIN_INNER_QUOTES_AS_BACKTICKS,1,0,0,1,0,0,0
RETAIN_INNER_QUOTES_AS_STRING,1,0,1,1,1,1,1
RETAIN_INNER_QUOTES_AS_STRING_EXPAND,1,0,0,0,0,0,0
RETAIN_INNER_QUOTES_EXPAND,1,0,0,0,0,0,0
SINGLE_QUOTES,1,0,1,1,1,1,1
SINGLE_QUOTES_INSIDE_BACKTICKS,1,0,0,1,0,0,0
SINGLE_QUOTES_INSIDE_DOUBLE,1,0,1,1,1,1,1
SINGLE_QUOTES_SPACED,1,0,1,1,1,1,1
SPACED_KEY,1,0,1,1,1,1,1
TRIM_SPACE_FROM_UNQUOTED,1,0,1,1,0,1,1
USERNAME,1,1,1,1,1,1,1
